Matchday,Date,Venue,For,Opponent,Result,Pos.,Goals,Assists,Yellow cards,Second yellow cards,Red cards,Minutes played
25,2/8/14,H,Chelsea,Newcastle  ,3:0,RW,,,,,,12
26,2/11/14,A,Chelsea,West Brom  ,1:1,LW,,,,,,1
31,3/22/14,H,Chelsea,Arsenal  ,6:0,RW,1,,,,,23
32,3/29/14,A,Chelsea,Crystal Palace  ,1:0,RW,,,,,,34
33,4/5/14,H,Chelsea,Stoke City  ,3:0,RW,1,1,,,,90
34,4/13/14,A,Chelsea,Swansea  ,0:1,RW,,,,,,90
35,4/19/14,H,Chelsea,Sunderland  ,1:2,RW,,,,,,66
36,4/27/14,A,Chelsea,Liverpool  ,0:2,RW,,,21,,,60
37,5/4/14,H,Chelsea,Norwich  ,0:0,RW,,,,,,45
38,5/11/14,A,Chelsea,Cardiff  ,1:2,RW,,,,,,79
4,9/13/14,H,Chelsea,Swansea  ,4:2,,,,,,,8
8,10/18/14,A,Chelsea,Crystal Palace  ,1:2,LW,,,,,,4
20,1/1/15,A,Chelsea,Spurs  ,5:3,RW,,,,,,18
1,8/12/17,A,Liverpool,Watford  ,3:3,RW,1,1,,,,86
2,8/19/17,H,Liverpool,Crystal Palace  ,1:0,RW,,,,,,29
3,8/27/17,H,Liverpool,Arsenal  ,4:0,RW,1,1,,,,90
4,9/9/17,A,Liverpool,Man City  ,5:0,RW,,,,,,45
5,9/16/17,H,Liverpool,Burnley  ,1:1,RW,1,,,,,90
6,9/23/17,A,Liverpool,Leicester  ,2:3,RW,1,,,,,90
7,10/1/17,A,Liverpool,Newcastle  ,1:1,RW,,,,,,84
8,10/14/17,H,Liverpool,Man Utd  ,0:0,RW,,,,,,78
9,10/22/17,A,Liverpool,Spurs  ,4:1,RW,1,,,,,90
10,10/28/17,H,Liverpool,Huddersfield  ,3:0,RW,,1,,,,81
11,11/4/17,A,Liverpool,West Ham  ,1:4,CF,2,,,,,90
12,11/18/17,H,Liverpool,Southampton  ,3:0,RW,2,,,,,80
13,11/25/17,H,Liverpool,Chelsea  ,1:1,RW,1,,,,,90
14,11/29/17,A,Liverpool,Stoke City  ,0:3,RW,2,,,,,23
15,12/2/17,A,Liverpool,Brighton  ,1:5,AM,,1,,,,80
16,12/10/17,H,Liverpool,Everton  ,1:1,RW,1,,,,,67
17,12/13/17,H,Liverpool,West Brom  ,0:0,RW,,,,,,90
18,12/17/17,A,Liverpool,Bournemouth  ,0:4,RW,1,,,,,71
19,12/22/17,A,Liverpool,Arsenal  ,3:3,RW,1,,,,,90
20,12/26/17,H,Liverpool,Swansea  ,5:0,RW,,2,,,,68
21,12/30/17,H,Liverpool,Leicester  ,2:1,RW,2,,,,,83
23,1/14/18,H,Liverpool,Man City  ,4:3,RW,1,1,,,,88
24,1/22/18,A,Liverpool,Swansea  ,1:0,CF,,,,,,90
25,1/30/18,A,Liverpool,Huddersfield  ,0:3,RW,1,,,,,83
26,2/4/18,H,Liverpool,Spurs  ,2:2,RW,2,,,,,90
27,2/11/18,A,Liverpool,Southampton  ,0:2,RW,1,1,,,,89
28,2/24/18,H,Liverpool,West Ham  ,4:1,RW,1,1,,,,87
29,3/3/18,H,Liverpool,Newcastle  ,2:0,RW,1,,,,,90
30,3/10/18,A,Liverpool,Man Utd  ,2:1,RW,,,,,,90
31,3/17/18,H,Liverpool,Watford  ,5:0,RW,4,1,,,,90
32,3/31/18,A,Liverpool,Crystal Palace  ,1:2,RW,1,,,,,90
34,4/14/18,H,Liverpool,Bournemouth  ,3:0,RW,1,,,,,90
35,4/21/18,A,Liverpool,West Brom  ,2:2,RW,1,,,,,84
36,4/28/18,H,Liverpool,Stoke City  ,0:0,RW,,,,,,90
37,5/6/18,A,Liverpool,Chelsea  ,1:0,CF,,,39,,,90
38,5/13/18,H,Liverpool,Brighton  ,4:0,RW,1,1,,,,84
1,8/12/18,H,Liverpool,West Ham  ,4:0,RW,1,,,,,87
2,8/20/18,A,Liverpool,Crystal Palace  ,0:2,RW,,2,,,,90
3,8/25/18,H,Liverpool,Brighton  ,1:0,RW,1,,,,,90
4,9/1/18,A,Liverpool,Leicester  ,1:2,RW,,,,,,71
5,9/15/18,A,Liverpool,Spurs  ,1:2,RW,,,,,,90
6,9/22/18,H,Liverpool,Southampton  ,3:0,RW,1,,,,,90
7,9/29/18,A,Liverpool,Chelsea  ,1:1,RW,,,,,,66
8,10/7/18,H,Liverpool,Man City  ,0:0,RW,,,,,,90
9,10/20/18,A,Liverpool,Huddersfield  ,0:1,RW,1,,,,,90
10,10/27/18,H,Liverpool,Cardiff  ,4:1,CF,1,2,,,,90
11,11/3/18,A,Liverpool,Arsenal  ,1:1,RW,,,,,,90
12,11/11/18,H,Liverpool,Fulham  ,2:0,CF,1,,,,,90
13,11/24/18,A,Liverpool,Watford  ,0:3,CF,1,,,,,86
14,12/2/18,H,Liverpool,Everton  ,1:0,CF,,,,,,75
15,12/5/18,A,Liverpool,Burnley  ,1:3,CF,,1,,,,24
16,12/8/18,A,Liverpool,Bournemouth  ,0:4,CF,3,,,,,90
17,12/16/18,H,Liverpool,Man Utd  ,3:1,CF,,,,,,90
18,12/21/18,A,Liverpool,Wolves  ,0:2,CF,1,1,,,,90
19,12/26/18,H,Liverpool,Newcastle  ,4:0,CF,1,1,,,,90
20,12/29/18,H,Liverpool,Arsenal  ,5:1,CF,1,1,,,,90
21,1/3/19,A,Liverpool,Man City  ,2:1,RW,,,,,,90
22,1/12/19,A,Liverpool,Brighton  ,0:1,CF,1,,,,,90
23,1/19/19,H,Liverpool,Crystal Palace  ,4:3,CF,2,,,,,90
24,1/30/19,H,Liverpool,Leicester  ,1:1,CF,,,,,,90
25,2/4/19,A,Liverpool,West Ham  ,1:1,RW,,,,,,90
26,2/9/19,H,Liverpool,Bournemouth  ,3:0,RW,1,,,,,90
27,2/24/19,A,Liverpool,Man Utd  ,0:0,RW,,,,,,79
28,2/27/19,H,Liverpool,Watford  ,5:0,RW,,,,,,90
29,3/3/19,A,Liverpool,Everton  ,0:0,RW,,,,,,90
30,3/10/19,H,Liverpool,Burnley  ,4:2,RW,,,,,,90
31,3/17/19,A,Liverpool,Fulham  ,1:2,RW,,,,,,90
32,3/31/19,H,Liverpool,Spurs  ,2:1,RW,,,,,,90
33,4/5/19,A,Liverpool,Southampton  ,1:3,RW,1,,81,,,90
34,4/14/19,H,Liverpool,Chelsea  ,2:0,RW,1,,,,,90
35,4/21/19,A,Liverpool,Cardiff  ,0:2,RW,,1,,,,90
36,4/26/19,H,Liverpool,Huddersfield  ,5:0,RW,2,1,,,,90
37,5/4/19,A,Liverpool,Newcastle  ,2:3,RW,1,,,,,73
38,5/12/19,H,Liverpool,Wolves  ,2:0,RW,,,,,,90
1,8/9/19,H,Liverpool,Norwich  ,4:1,RW,1,1,,,,90
2,8/17/19,A,Liverpool,Southampton  ,1:2,RW,,,,,,79
3,8/24/19,H,Liverpool,Arsenal  ,3:1,RW,2,,,,,90
4,8/31/19,A,Liverpool,Burnley  ,0:3,RW,,1,,,,90
5,9/14/19,H,Liverpool,Newcastle  ,3:1,RW,1,,,,,90
6,9/22/19,A,Liverpool,Chelsea  ,1:2,RW,,1,,,,90
7,9/28/19,A,Liverpool,Sheff Utd  ,0:1,RW,,,,,,90
8,10/5/19,H,Liverpool,Leicester  ,2:1,CF,,,,,,90
10,10/27/19,H,Liverpool,Spurs  ,2:1,RW,1,,,,,85
11,11/2/19,A,Liverpool,Aston Villa  ,1:2,RW,,,,,,65
12,11/10/19,H,Liverpool,Man City  ,3:1,RW,1,,,,,87
14,11/30/19,H,Liverpool,Brighton  ,2:1,RW,,,,,,69
16,12/7/19,A,Liverpool,Bournemouth  ,0:3,RW,1,1,,,,90
17,12/14/19,H,Liverpool,Watford  ,2:0,CF,2,,,,,90
19,12/26/19,A,Liverpool,Leicester  ,0:4,RW,,,,,,70
20,12/29/19,H,Liverpool,Wolves  ,1:0,CF,,,,,,90
21,1/2/20,H,Liverpool,Sheff Utd  ,2:0,RW,1,,,,,90
22,1/11/20,A,Liverpool,Spurs  ,0:1,RW,,1,,,,90
23,1/19/20,H,Liverpool,Man Utd  ,2:0,RW,1,,90 + 4,,,90
24,1/23/20,A,Liverpool,Wolves  ,1:2,RW,,,,,,85
18,1/29/20,A,Liverpool,West Ham  ,0:2,RW,1,1,,,,90
25,2/1/20,H,Liverpool,Southampton  ,4:0,RW,2,,,,,90
26,2/15/20,A,Liverpool,Norwich  ,0:1,RW,,,,,,90
27,2/24/20,H,Liverpool,West Ham  ,3:2,RW,1,,,,,90
28,2/29/20,A,Liverpool,Watford  ,3:0,RW,,,,,,90
29,3/7/20,H,Liverpool,Bournemouth  ,2:1,RW,1,,,,,90
31,6/24/20,H,Liverpool,Crystal Palace  ,4:0,RW,1,1,,,,90
32,7/2/20,A,Liverpool,Man City  ,4:0,RW,,,,,,90
33,7/5/20,H,Liverpool,Aston Villa  ,2:0,RW,,1,,,,90
34,7/8/20,A,Liverpool,Brighton  ,1:3,RW,2,1,,,,90
35,7/11/20,H,Liverpool,Burnley  ,1:1,RW,,,,,,90
36,7/15/20,A,Liverpool,Arsenal  ,2:1,RW,,,,,,83
37,7/22/20,H,Liverpool,Chelsea  ,5:3,RW,,1,,,,79
38,7/26/20,A,Liverpool,Newcastle  ,1:3,RW,,,,,,26
1,9/12/20,H,Liverpool,Leeds  ,4:3,RW,3,,,,,90
2,9/20/20,A,Liverpool,Chelsea  ,0:2,RW,,,,,,90
3,9/28/20,H,Liverpool,Arsenal  ,3:1,RW,,,,,,90
4,10/4/20,A,Liverpool,Aston Villa  ,7:2,RW,2,,,,,90
5,10/17/20,A,Liverpool,Everton  ,2:2,RW,1,,,,,90
6,10/24/20,H,Liverpool,Sheff Utd  ,2:1,CF,,,,,,90
7,10/31/20,H,Liverpool,West Ham  ,2:1,RW,1,,,,,90
8,11/8/20,A,Liverpool,Man City  ,1:1,CF,1,,,,,90
10,11/28/20,A,Liverpool,Brighton  ,1:1,RW,,1,,,,64
11,12/6/20,H,Liverpool,Wolves  ,4:0,RW,1,1,,,,90
12,12/13/20,A,Liverpool,Fulham  ,1:1,RW,1,,,,,84
13,12/16/20,H,Liverpool,Spurs  ,2:1,RW,1,,,,,90
14,12/19/20,A,Liverpool,Crystal Palace  ,0:7,RW,2,1,,,,33
15,12/27/20,H,Liverpool,West Brom  ,1:1,RW,,,,,,90
16,12/30/20,A,Liverpool,Newcastle  ,0:0,RW,,,,,,90
17,1/4/21,A,Liverpool,Southampton  ,1:0,RW,,,,,,90
19,1/17/21,H,Liverpool,Man Utd  ,0:0,RW,,,,,,90
18,1/21/21,H,Liverpool,Burnley  ,0:1,RW,,,,,,33
20,1/28/21,A,Liverpool,Spurs  ,1:3,RW,,,,,,90
21,1/31/21,A,Liverpool,West Ham  ,1:3,CF,2,,,,,90
22,2/3/21,H,Liverpool,Brighton  ,0:1,RW,,,,,,90
23,2/7/21,H,Liverpool,Man City  ,1:4,RW,1,,,,,90
24,2/13/21,A,Liverpool,Leicester  ,3:1,RW,1,,,,,90
25,2/20/21,H,Liverpool,Everton  ,0:2,RW,,,,,,90
26,2/28/21,A,Liverpool,Sheff Utd  ,0:2,RW,,,,,,90
29,3/4/21,H,Liverpool,Chelsea  ,0:1,RW,,,,,,62
27,3/7/21,H,Liverpool,Fulham  ,0:1,CF,,,,,,90
28,3/15/21,A,Liverpool,Wolves  ,0:1,RW,,,,,,90
30,4/3/21,A,Liverpool,Arsenal  ,0:3,RW,1,,,,,90
31,4/10/21,H,Liverpool,Aston Villa  ,2:1,RW,1,,,,,90
32,4/19/21,A,Liverpool,Leeds  ,1:1,RW,,,,,,19
33,4/24/21,H,Liverpool,Newcastle  ,1:1,RW,1,,,,,90
35,5/8/21,H,Liverpool,Southampton  ,2:0,RW,,1,,,,87
34,5/13/21,A,Liverpool,Man Utd  ,2:4,RW,1,,,,,90
36,5/16/21,A,Liverpool,West Brom  ,1:2,RW,1,,,,,90
37,5/19/21,A,Liverpool,Burnley  ,0:3,RW,,,,,,90
38,5/23/21,H,Liverpool,Crystal Palace  ,2:0,RW,,1,,,,90
1,8/14/21,A,Liverpool,Norwich  ,0:3,RW,1,2,,,,90
2,8/21/21,H,Liverpool,Burnley  ,2:0,RW,,,,,,90
3,8/28/21,H,Liverpool,Chelsea  ,1:1,RW,1,,,,,90
4,9/12/21,A,Liverpool,Leeds  ,0:3,RW,1,,,,,90
5,9/18/21,H,Liverpool,Crystal Palace  ,3:0,RW,1,,79,,,90
6,9/25/21,A,Liverpool,Brentford  ,3:3,RW,1,,,,,90
7,10/3/21,H,Liverpool,Man City  ,2:2,RW,1,1,,,,90
8,10/16/21,A,Liverpool,Watford  ,0:5,RW,1,1,,,,90
9,10/24/21,A,Liverpool,Man Utd  ,0:5,RW,3,1,,,,90
10,10/30/21,H,Liverpool,Brighton  ,2:2,RW,,1,,,,90
11,11/7/21,A,Liverpool,West Ham  ,3:2,RW,,1,,,,90
12,11/20/21,H,Liverpool,Arsenal  ,4:0,RW,1,,,,,90
13,11/27/21,H,Liverpool,Southampton  ,4:0,RW,,1,,,,90
14,12/1/21,A,Liverpool,Everton  ,1:4,RW,2,,,,,90
15,12/4/21,A,Liverpool,Wolves  ,0:1,RW,,1,,,,90
16,12/11/21,H,Liverpool,Aston Villa  ,1:0,RW,1,,,,,90
